#TYPE System.Management.Automation.PSCustomObject
"firstname","middleInitial","lastname","username","email","streetaddress","city","zipcode","state","country","department","password","telephone","jobtitle","company","ou"
"aadesh","a","jossund","ajossund","ajossund@chs.com","60 Greengrow Blvd.","Dunwoody","30030","GA","USA","IT","Sully_Dully23","1111111133","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadham","a","jost","ajost","ajost@chs.com","124 Drainbow Rd.","Decatur","30030","GA","USA","IT","Sully_Dully24","1111111134","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhan","a","josten","ajosten","ajosten@chs.com","124 Drainbow Rd.","Decatur","30034","NC","USA","Sales","Sully_Dully25","1111111135","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhav","a","jostes","ajostes","ajostes@chs.com","124 Drainbow Rd.","Decatur","30035","AL","USA","Sales","Sully_Dully26","1111111136","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhavan","a","jostun","ajostun","ajostun@chs.com","60 Greengrow Blvd.","Atlanta","30035","NC","USA","Sales","Sully_Dully27","1111111137","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhi","a","josue","ajosue","ajosue@chs.com","124 Drainbow Rd.","Dunwoody","30034","AL","USA","IT","Sully_Dully28","1111111138","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhira","a","joswick","ajoswick","ajoswick@chs.com","60 Greengrow Blvd.","Atlanta","30030","NC","USA","Sales","Sully_Dully29","1111111139","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhiran","a","jotblad","ajotblad","ajotblad@chs.com","124 Drainbow Rd.","Dunwoody","30030","GA","USA","Sales","Sully_Dully30","1111111140","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhish","a","joto","ajoto","ajoto@chs.com","123 Rainbow Dr.","Atlanta","30030","NC","USA","Marketing","Sully_Dully31","1111111141","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhith","a","jotyi","ajotyi","ajotyi@chs.com","123 Rainbow Dr.","Decatur","30035","GA","USA","IT","Sully_Dully32","1111111142","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhithya","a","jou","ajou","ajou@chs.com","124 Drainbow Rd.","Dunwoody","30030","NC","USA","Marketing","Sully_Dully33","1111111143","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhrith","a","joubert","ajoubert","ajoubert@chs.com","60 Greengrow Blvd.","Dunwoody","30030","NC","USA","Sales","Sully_Dully34","1111111144","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhvik","a","joulwan","ajoulwan","ajoulwan@chs.com","124 Drainbow Rd.","Dunwoody","30034","GA","USA","IT","Sully_Dully35","1111111145","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhvika","a","joun","ajoun","ajoun@chs.com","60 Greengrow Blvd.","Dunwoody","30034","NC","USA","IT","Sully_Dully36","1111111146","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhya","a","joung","ajoung","ajoung@chs.com","60 Greengrow Blvd.","Dunwoody","30035","AL","USA","Marketing","Sully_Dully37","1111111147","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhyan","a","jourdain","ajourdain","ajourdain@chs.com","60 Greengrow Blvd.","Atlanta","30035","AL","USA","Marketing","Sully_Dully38","1111111148","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhyareddy","a","jourdan","ajourdan","ajourdan@chs.com","124 Drainbow Rd.","Atlanta","30034","AL","USA","Marketing","Sully_Dully39","1111111149","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadhyasri","a","journeay","ajourneay","ajourneay@chs.com","123 Rainbow Dr.","Atlanta","30035","NC","USA","Marketing","Sully_Dully40","1111111150","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadi","a","journell","ajournell","ajournell@chs.com","123 Rainbow Dr.","Atlanta","30034","AL","USA","Marketing","Sully_Dully41","1111111151","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadian","a","journet","ajournet","ajournet@chs.com","60 Greengrow Blvd.","Dunwoody","30034","GA","USA","Marketing","Sully_Dully42","1111111152","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadil","a","journigan","ajournigan","ajournigan@chs.com","60 Greengrow Blvd.","Atlanta","30035","NC","USA","Marketing","Sully_Dully43","1111111153","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadila","a","journot","ajournot","ajournot@chs.com","123 Rainbow Dr.","Dunwoody","30035","NC","USA","Marketing","Sully_Dully44","1111111154","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadilynn","a","jovanovic","ajovanovic","ajovanovic@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","Sales","Sully_Dully45","1111111155","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadin","a","jovanovich","ajovanovich","ajovanovich@chs.com","123 Rainbow Dr.","Atlanta","30035","NC","USA","Sales","Sully_Dully46","1111111156","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadirath","a","jove","ajove","ajove@chs.com","123 Rainbow Dr.","Dunwoody","30030","NC","USA","Sales","Sully_Dully47","1111111157","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadish","a","jovel","ajovel","ajovel@chs.com","123 Rainbow Dr.","Dunwoody","30035","AL","USA","Marketing","Sully_Dully48","1111111158","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadishiv","a","jover","ajover","ajover@chs.com","60 Greengrow Blvd.","Dunwoody","30034","NC","USA","Marketing","Sully_Dully49","1111111159","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadison","a","jovich","ajovich","ajovich@chs.com","123 Rainbow Dr.","Dunwoody","30034","GA","USA","IT","Sully_Dully50","1111111160","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadit","a","jowell","ajowell","ajowell@chs.com","123 Rainbow Dr.","Atlanta","30034","NC","USA","IT","Sully_Dully51","1111111161","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadith","a","jowers","ajowers","ajowers@chs.com","60 Greengrow Blvd.","Decatur","30030","AL","USA","Marketing","Sully_Dully52","1111111162","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadithya","a","jowett","ajowett","ajowett@chs.com","124 Drainbow Rd.","Atlanta","30030","GA","USA","IT","Sully_Dully53","1111111163","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaditiya","a","joy","ajoy","ajoy@chs.com","124 Drainbow Rd.","Atlanta","30035","GA","USA","Marketing","Sully_Dully54","1111111164","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaditri","a","joya","ajoya","ajoya@chs.com","60 Greengrow Blvd.","Atlanta","30034","AL","USA","Marketing","Sully_Dully55","1111111165","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaditya","a","joyaa","ajoyaa","ajoyaa@chs.com","60 Greengrow Blvd.","Decatur","30030","AL","USA","Sales","Sully_Dully56","1111111166","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadityaram","a","joyal","ajoyal","ajoyal@chs.com","124 Drainbow Rd.","Atlanta","30034","AL","USA","Marketing","Sully_Dully57","1111111167","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadiv","a","joyate","ajoyate","ajoyate@chs.com","60 Greengrow Blvd.","Decatur","30035","NC","USA","IT","Sully_Dully58","1111111168","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadje","a","joyce","ajoyce","ajoyce@chs.com","123 Rainbow Dr.","Decatur","30034","AL","USA","IT","Sully_Dully59","1111111169","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadm","a","joye","ajoye","ajoye@chs.com","60 Greengrow Blvd.","Decatur","30030","NC","USA","Sales","Sully_Dully60","1111111170","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadon","a","joyne","ajoyne","ajoyne@chs.com","124 Drainbow Rd.","Decatur","30030","NC","USA","Marketing","Sully_Dully61","1111111171","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadrian","a","joyner","ajoyner","ajoyner@chs.com","123 Rainbow Dr.","Atlanta","30030","GA","USA","Marketing","Sully_Dully62","1111111172","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadrika","a","joyner-jordan","ajoyner-jordan","ajoyner-jordan@chs.com","60 Greengrow Blvd.","Dunwoody","30030","NC","USA","Sales","Sully_Dully63","1111111173","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadrit","a","joynes","ajoynes","ajoynes@chs.com","123 Rainbow Dr.","Atlanta","30035","AL","USA","IT","Sully_Dully64","1111111174","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadrith","a","joynson","ajoynson","ajoynson@chs.com","124 Drainbow Rd.","Decatur","30034","NC","USA","IT","Sully_Dully65","1111111175","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadriti","a","joynt","ajoynt","ajoynt@chs.com","124 Drainbow Rd.","Decatur","30034","GA","USA","Marketing","Sully_Dully66","1111111176","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadu","a","joyti","ajoyti","ajoyti@chs.com","124 Drainbow Rd.","Atlanta","30030","GA","USA","Sales","Sully_Dully67","1111111177","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadvi","a","jozsa","ajozsa","ajozsa@chs.com","60 Greengrow Blvd.","Atlanta","30035","AL","USA","IT","Sully_Dully68","1111111178","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadvik","a","jozwiak","ajozwiak","ajozwiak@chs.com","123 Rainbow Dr.","Atlanta","30030","AL","USA","IT","Sully_Dully69","1111111179","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadvika","a","jozwick","ajozwick","ajozwick@chs.com","123 Rainbow Dr.","Decatur","30034","NC","USA","Sales","Sully_Dully70","1111111180","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadya","a","ju","aju","aju@chs.com","60 Greengrow Blvd.","Atlanta","30030","AL","USA","IT","Sully_Dully71","1111111181","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadyan","a","juaire","ajuaire","ajuaire@chs.com","60 Greengrow Blvd.","Decatur","30030","AL","USA","IT","Sully_Dully72","1111111182","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadyant","a","juan","ajuan","ajuan@chs.com","60 Greengrow Blvd.","Atlanta","30030","GA","USA","Marketing","Sully_Dully73","1111111183","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadyanth","a","juan-marcus","ajuan-marcus","ajuan-marcus@chs.com","123 Rainbow Dr.","Atlanta","30034","NC","USA","Marketing","Sully_Dully74","1111111184","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aadyn","a","juandoo","ajuandoo","ajuandoo@chs.com","123 Rainbow Dr.","Atlanta","30035","NC","USA","Sales","Sully_Dully75","1111111185","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaeedah","a","juanes","ajuanes","ajuanes@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","IT","Sully_Dully76","1111111186","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaeesha","a","juanico","ajuanico","ajuanico@chs.com","124 Drainbow Rd.","Dunwoody","30035","GA","USA","IT","Sully_Dully77","1111111187","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaella","a","juanis","ajuanis","ajuanis@chs.com","60 Greengrow Blvd.","Dunwoody","30034","AL","USA","IT","Sully_Dully78","1111111188","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaeryn","a","juarbe","ajuarbe","ajuarbe@chs.com","124 Drainbow Rd.","Dunwoody","30030","NC","USA","Sales","Sully_Dully79","1111111189","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaf","a","juares","ajuares","ajuares@chs.com","60 Greengrow Blvd.","Atlanta","30034","AL","USA","IT","Sully_Dully80","1111111190","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafi","a","juarez","ajuarez","ajuarez@chs.com","124 Drainbow Rd.","Atlanta","30030","GA","USA","Sales","Sully_Dully81","1111111191","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafia","a","juarez-alvarez","ajuarez-alvarez","ajuarez-alvarez@chs.com","60 Greengrow Blvd.","Atlanta","30034","GA","USA","IT","Sully_Dully82","1111111192","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafiya","a","juarez-avila","ajuarez-avila","ajuarez-avila@chs.com","60 Greengrow Blvd.","Decatur","30030","GA","USA","IT","Sully_Dully83","1111111193","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafiyah","a","juariqui","ajuariqui","ajuariqui@chs.com","123 Rainbow Dr.","Atlanta","30030","GA","USA","Sales","Sully_Dully84","1111111194","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafke","a","juart","ajuart","ajuart@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","IT","Sully_Dully85","1111111195","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafkea","a","juba","ajuba","ajuba@chs.com","123 Rainbow Dr.","Decatur","30034","GA","USA","Marketing","Sully_Dully86","1111111196","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafko","a","juback","ajuback","ajuback@chs.com","123 Rainbow Dr.","Dunwoody","30030","NC","USA","Marketing","Sully_Dully87","1111111197","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafreen","a","jubaira","ajubaira","ajubaira@chs.com","123 Rainbow Dr.","Decatur","30034","AL","USA","Marketing","Sully_Dully88","1111111198","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aafrin","a","jubb","ajubb","ajubb@chs.com","123 Rainbow Dr.","Decatur","30035","AL","USA","IT","Sully_Dully89","1111111199","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaftab","a","jubed","ajubed","ajubed@chs.com","124 Drainbow Rd.","Atlanta","30034","NC","USA","Sales","Sully_Dully90","1111111200","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagam","a","jubeda","ajubeda","ajubeda@chs.com","60 Greengrow Blvd.","Atlanta","30030","NC","USA","IT","Sully_Dully91","1111111201","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagand","a","jubeh","ajubeh","ajubeh@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","Marketing","Sully_Dully92","1111111202","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagat","a","juber","ajuber","ajuber@chs.com","124 Drainbow Rd.","Decatur","30035","AL","USA","Marketing","Sully_Dully93","1111111203","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aage","a","jubert","ajubert","ajubert@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","IT","Sully_Dully94","1111111204","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagje","a","jubic","ajubic","ajubic@chs.com","60 Greengrow Blvd.","Dunwoody","30030","AL","USA","Sales","Sully_Dully95","1111111205","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagman","a","jubie","ajubie","ajubie@chs.com","124 Drainbow Rd.","Decatur","30035","AL","USA","Marketing","Sully_Dully96","1111111206","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagna","a","jubilee","ajubilee","ajubilee@chs.com","123 Rainbow Dr.","Dunwoody","30034","GA","USA","Marketing","Sully_Dully97","1111111207","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagot","a","jubin","ajubin","ajubin@chs.com","124 Drainbow Rd.","Atlanta","30034","AL","USA","IT","Sully_Dully98","1111111208","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aagoth","a","jubinville","ajubinville","ajubinville@chs.com","124 Drainbow Rd.","Atlanta","30035","NC","USA","Sales","Sully_Dully99","1111111209","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahaan","a","jubran","ajubran","ajubran@chs.com","124 Drainbow Rd.","Atlanta","30034","AL","USA","Marketing","Sully_Dully100","1111111210","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahad","a","jubyna","ajubyna","ajubyna@chs.com","124 Drainbow Rd.","Dunwoody","30030","AL","USA","Marketing","Sully_Dully101","1111111211","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahan","a","jucean","ajucean","ajucean@chs.com","60 Greengrow Blvd.","Decatur","30030","GA","USA","IT","Sully_Dully102","1111111212","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahana","a","juckett","ajuckett","ajuckett@chs.com","124 Drainbow Rd.","Dunwoody","30035","GA","USA","Sales","Sully_Dully103","1111111213","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaheli","a","jud","ajud","ajud@chs.com","123 Rainbow Dr.","Decatur","30034","NC","USA","Sales","Sully_Dully104","1111111214","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahil","a","juda","ajuda","ajuda@chs.com","123 Rainbow Dr.","Decatur","30034","GA","USA","IT","Sully_Dully105","1111111215","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahiluddin","a","judah","ajudah","ajudah@chs.com","60 Greengrow Blvd.","Dunwoody","30035","GA","USA","Sales","Sully_Dully106","1111111216","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahim","a","judd","ajudd","ajudd@chs.com","60 Greengrow Blvd.","Dunwoody","30030","NC","USA","Sales","Sully_Dully107","1111111217","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahir","a","jude","ajude","ajude@chs.com","60 Greengrow Blvd.","Decatur","30030","GA","USA","IT","Sully_Dully108","1111111218","IT","CHS","OU=IT,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahliyah","a","judice","ajudice","ajudice@chs.com","60 Greengrow Blvd.","Atlanta","30034","GA","USA","Sales","Sully_Dully109","1111111219","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahna","a","judie","ajudie","ajudie@chs.com","124 Drainbow Rd.","Atlanta","30030","AL","USA","Sales","Sully_Dully110","1111111220","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahron","a","judkins","ajudkins","ajudkins@chs.com","123 Rainbow Dr.","Atlanta","30035","GA","USA","Sales","Sully_Dully111","1111111221","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aahyan","a","judon","ajudon","ajudon@chs.com","124 Drainbow Rd.","Dunwoody","30035","AL","USA","Sales","Sully_Dully112","1111111222","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaidah","a","judson","ajudson","ajudson@chs.com","123 Rainbow Dr.","Dunwoody","30035","GA","USA","Sales","Sully_Dully113","1111111223","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaidan","a","judy","ajudy","ajudy@chs.com","60 Greengrow Blvd.","Dunwoody","30035","NC","USA","Sales","Sully_Dully114","1111111224","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaiden","a","jue","ajue","ajue@chs.com","60 Greengrow Blvd.","Decatur","30034","NC","USA","Marketing","Sully_Dully115","1111111225","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaidyn","a","juedes","ajuedes","ajuedes@chs.com","60 Greengrow Blvd.","Dunwoody","30030","GA","USA","Marketing","Sully_Dully116","1111111226","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaila","a","juel","ajuel","ajuel@chs.com","60 Greengrow Blvd.","Atlanta","30035","NC","USA","Sales","Sully_Dully117","1111111227","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
"aailiyah","a","juelfs","ajuelfs","ajuelfs@chs.com","123 Rainbow Dr.","Dunwoody","30030","GA","USA","Marketing","Sully_Dully118","1111111228","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aailyah","a","juelich","ajuelich","ajuelich@chs.com","123 Rainbow Dr.","Decatur","30035","NC","USA","Marketing","Sully_Dully119","1111111229","Marketing","CHS","OU=Marketing,OU=NewUsers,DC=CHS,DC=LOCAL"
"aaima","a","juell","ajuell","ajuell@chs.com","123 Rainbow Dr.","Atlanta","30034","NC","USA","Sales","Sully_Dully120","1111111230","Sales","CHS","OU=Sales,OU=NewUsers,DC=CHS,DC=LOCAL"
